ID,HUMAN_ID,HUMAN_READABLE_NAME,NAME,ALT_NAMES (/ separated),PARENT_ID,PARENT,DATE_FROM,DATE_TO,CANON,LEGENDS,IN_MOVIES,TYPE,TYPE_CLASSES,IS_CAPITAL,X_GRID,Y_GRID,X_COORD,Y_COORD,Z_COORD,ORBITAL_RANK,DESC,CONJECTURAL_NAME,CONJECTURAl_TYPE,PLACEMENT_CERT.,PLACEMENT_LOGIC,NATIVE_SPECIES,KNOWN_ENVIRONMENTS,NOTES,INTERESTING,URLS (sources),ZOOM_LEVEL,tooltip_permanent,tooltip_direction,className,index_geo,last_updated,data_certified,WikiDataID,GEOM,PONCTUAL
5f88db3e-2ff7-4723-b85f-1534c9413e63,0,The universe,The universe,Known universe,,,-13000000000,,YES,YES,YES,Universe,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Known_Universe,,,,,,"Mon, 01 Apr 2024 15:24:05 GMT",,,,NO
6bd867fd-78d0-48c6-b4e0-3f09d9f6a128,1,The Galaxy local group,The Galaxy local group,,5f88db3e-2ff7-4723-b85f-1534c9413e63,The universe,,,YES,YES,,Galaxy Group,,,,,,,,,,,,,,,,,,,,,,,,"Mon, 01 Apr 2024 15:14:12 GMT",,,,NO
ac37bbbf-401b-4252-a8c4-fe5d79fdbf4a,2,  0. The Galaxy,The Galaxy,,6bd867fd-78d0-48c6-b4e0-3f09d9f6a128,The Galaxy local group < The universe,,,YES,YES,YES,Galaxy,SBc,YES,,,0,-142.091,0,0,,,,,,,,,,https://starwars.fandom.com/wiki/The_galaxy,,,,,,"Mon, 01 Apr 2024 15:14:41 GMT",,,,NO
f011a1ca-6b98-41a3-9f4a-cd79325a39ce,3,The Rishi Maze,The Rishi Maze,Companion Aurek,6bd867fd-78d0-48c6-b4e0-3f09d9f6a128,The Galaxy local group,,,YES,YES,YES,Galaxy,Sc,,,,,,,1,,,,,,,,,,https://starwars.fandom.com/wiki/Rishi_Maze,,,,,,,,,,NO
84083ad8-7946-4609-9ea2-381eed66364d,4,Firefist,Firefist,Companion Besh,6bd867fd-78d0-48c6-b4e0-3f09d9f6a128,The Galaxy local group,,,,YES,,Galaxy,Sa,,,,,,,2,,,,,,,,,,https://starwars.fandom.com/wiki/Firefist,,,,,,,,,,NO
040539b5-c71b-4534-9f91-e5643da5b1c9,5,Companion Cresh,Companion Cresh,,6bd867fd-78d0-48c6-b4e0-3f09d9f6a128,The Galaxy local group,,,,YES,,Galaxy,,,,,,,,3,,,,,,,,,,https://starwars.fandom.com/wiki/Companion_Cresh,,,,,,,,,,NO
c5efeabc-370f-4c2c-8b97-263342ac2984,6,Companion Dorn,Companion Dorn,,6bd867fd-78d0-48c6-b4e0-3f09d9f6a128,The Galaxy local group,,,,YES,,Galaxy,,,,,,,,4,,,,,,,,,,https://starwars.fandom.com/wiki/Companion_Dorn,,,,,,,,,,NO
63d5f35c-9e45-45ad-b3d2-8b8ad5699dd3,7,Companion Esk,Companion Esk,,6bd867fd-78d0-48c6-b4e0-3f09d9f6a128,The Galaxy local group,,,,YES,,Galaxy,,,,,,,,5,,,,,,,,,,https://starwars.fandom.com/wiki/Companion_Esk,,,,,,,,,,NO
86202c85-d8b2-4ce5-86e7-7a6566f3a196,8,Companion Forn,Companion Forn,,6bd867fd-78d0-48c6-b4e0-3f09d9f6a128,The Galaxy local group,,,,YES,,Galaxy,,,,,,,,6,,,,,,,,,,https://starwars.fandom.com/wiki/Companion_Forn,,,,,,,,,,NO
8c07a2bf-e41b-4761-8763-cef8069cb471,9,Companion Grek,Companion Grek,,6bd867fd-78d0-48c6-b4e0-3f09d9f6a128,The Galaxy local group,,,,YES,,Galaxy,,,,,,,,7,,,,,,,,,,https://starwars.fandom.com/wiki/Companion_Grek,,,,,,,,,,NO
803d9929-b1fa-4856-87cd-fecae2b1cbbe,10,Deep Core,Deep Core,Deep Galactic Core,ac37bbbf-401b-4252-a8c4-fe5d79fdbf4a,The Galaxy,,,YES,YES,,Region,,,,,,,,,,,,,,,,,,"https://starwars.fandom.com/wiki/Deep_Core,https://starwars.fandom.com/wiki/Deep_Core/Legends",,,,,,,,,,NO
cda49f84-f5ac-4a4b-96dc-7f4b4fee81c7,11,Core Worlds,Core Worlds,Galactic Core/Imperial Core,ac37bbbf-401b-4252-a8c4-fe5d79fdbf4a,The Galaxy,,,YES,YES,,Region,,,,,,,,,,,,,,,,,,"https://starwars.fandom.com/wiki/Core_Worlds,https://starwars.fandom.com/wiki/Core_Worlds/Legends",,,,,,,,,,NO
0a8b0dba-1039-465f-8810-5a72af880c97,12,Colonies,Colonies,Colonies Regions,ac37bbbf-401b-4252-a8c4-fe5d79fdbf4a,The Galaxy,,,YES,YES,,Region,,,,,,,,,,,,,,,,,,"https://starwars.fandom.com/wiki/Colonies,https://starwars.fandom.com/wiki/Colonies/Legends",,,,,,,,,,NO
7dcbbb88-01c1-45ec-96ba-5e3b73546b0d,13,Inner Rim,Inner Rim,Inner Rim Territories/Inner Rim Planets,ac37bbbf-401b-4252-a8c4-fe5d79fdbf4a,The Galaxy,,,YES,YES,,Region,,,,,,,,,,,,,,,,,,"https://starwars.fandom.com/wiki/Inner_Rim_Territories,https://starwars.fandom.com/wiki/Inner_Rim/Legends",,,,,,,,,,NO
5abea1c9-7132-44e4-8ee1-56dfa34c2b88,14,Expansion Region,Expansion Region,Expanded Rim,ac37bbbf-401b-4252-a8c4-fe5d79fdbf4a,The Galaxy,,,YES,YES,,Region,,,,,,,,,,,,,,,,,,"https://starwars.fandom.com/wiki/Expansion_Region,https://starwars.fandom.com/wiki/Expansion_Region/Legends",,,,,,,,,,NO
